Time (s),Speed (RPM),Torque (Nm),Flux (Wb),Voltage (V),Current (A),Power (W),Kp,Ki,Kd,PID Gain Adjustment,Speed Overshoot (RPM),Torque Ripple (Nm),Flux Ripple (Wb),Control Error (RPM),ISE,Stabilization Time (s),Load Disturbance (Nm),"Internal Disturbance (Friction, Temp)",Simulation Step (s),Platform/Method,Optimization Iteration,"Target (Success = 1, Failure = 0)"
12,1496.7035048157477,19.881922716071387,0.09196061623272837,231.5957036509566,4.730393149690994,1151.9845924676215,1.206625404842109,0.0063784008433606385,0.004558976179476391,0.15511399076096286,5,0.07009094570186801,0.007288314240607879,42.303929886975,0.02056576534905118,2.095760908504236,0.3242447611052194,0.05807797047745011,1,cRIO,3,1
13,1500.4386966674367,20.31834906846337,0.09316434313082612,230.83544482144967,4.741887445320013,1139.731917285908,1.141826837598136,0.008493918221447077,0.003808627629627451,0.16391806438981263,1,0.3574842104403305,0.00650863101884314,47.74817292794782,0.016324132190633105,1.9689592174266484,0.5786396353049135,0.06366717646994072,1,cRIO,7,1
14,1504.0874249038516,20.24461988770618,0.08033951587032082,230.88675196420476,5.34452553214091,1089.7895496737297,1.2344691271487813,0.009681282850487073,0.004150204996977056,0.16602257167823906,7,-0.14867200065962236,0.007917101746319611,57.15439226261548,0.019652298872559943,2.427144551438467,0.4332432499463968,0.03987723487895971,1,Simulink,2,0
15,1492.9733174041885,20.53619439616369,0.10094235078393987,228.1995589523017,4.928274666991469,1159.7091627981745,1.1586590807773849,0.010684534106485708,0.005899471262169023,0.14132904626135268,2,-0.37230857421004804,0.005919079140619425,50.76066859432058,0.014453462337510027,1.6438236719839396,0.5050426764139443,0.07524555781343345,1,cRIO,9,1
16,1499.0769259924714,20.134372359716004,0.09933921566909691,229.07026006085297,4.918874807078759,1186.4203954651039,1.2998755851746102,0.009058405020584259,0.005848970296135283,0.133443822410838,6,-0.0715737561506521,0.008866847620618405,49.901315981558184,0.01843014552592162,1.9372574671094394,0.6708608816272305,0.052514660615762036,1,cRIO,5,0
17,1498.5159509785803,20.034712567044846,0.09200277744589037,232.65946158284083,5.187706147037573,1174.7415589299767,1.2329560237084423,0.007812248229439526,0.004520472960016674,0.1359653503236491,3,-0.05145497802859057,0.00915873869110532,51.51111495245394,0.01765110074958105,1.9722733699300055,0.630813039102629,0.06917669066914287,1,Simulink,3,1
18,1493.9219632161326,19.59124835005289,0.10944631769114815,232.06545044800495,4.925713208274017,1153.5209937450456,1.1479628987802575,0.009892636672493564,0.006105334689530926,0.1833661132731667,0,0.0675923633226757,0.009656650727495296,56.65066653968922,0.022549873703541983,2.314059102664328,0.2540332852928342,0.08468296048368874,1,cRIO,4,1
19,1496.9642351684881,18.33204922526545,0.11283888783270268,227.94713177872822,4.898461604323322,1146.5881467041986,1.2203709017325988,0.0112788560843851,0.005892840554319297,0.16631707020157033,7,0.05058544084262517,0.016473166518700646,53.01250484904434,0.024645644312657786,1.8237412532619983,0.5581993804417174,0.05978729970550876,1,cRIO,7,0
20,1508.6691448116471,19.735320934486104,0.08012789112033111,229.06734184685948,4.467603968035453,1164.0429954816439,1.199841122276356,0.01079661214802711,0.005557611623058457,0.1707985675488232,2,-0.014465800260461379,0.006311868673645728,46.49468234510407,0.02243442975150286,1.8196869009392969,0.4231805764994518,0.02254417500507182,1,Simulink,2,1
21,1497.4803466001933,20.35948501966105,0.11480194519239205,230.44327930977863,4.865220090318152,1164.8855165322545,1.1980370158062374,0.012029695456294162,0.004054572135855659,0.13247994219592593,9,0.14523182431511256,0.007587069962041125,52.5148802460901,0.021022294448087026,1.9253254721410904,0.4649324400361132,0.040478389924541426,1,cRIO,2,0
22,1503.7866334105286,19.679136492028686,0.10561566734873225,229.53979397276933,4.898411094415712,1139.9106216069704,1.1693006905609702,0.010178527879848331,0.004725260031360232,0.17739020284816562,8,0.0320262305521206,0.006207356506427036,49.968541024749676,0.01316497360802559,2.236652263884784,0.44940359090212023,0.0409507637712999,1,cRIO,3,0
23,1490.2692556954273,20.695362964570716,0.0968388371936959,228.06774695374182,5.349180726437124,1160.4155288946802,1.2002219261304907,0.011374354950197297,0.0052742150351301675,0.14861561184116964,9,-0.2652869654615993,0.008181593639610539,47.74594855044411,0.020205692693811488,2.4989796159187287,0.5668880560301982,0.042977545172528775,1,cRIO,5,0
24,1501.9182751193339,19.560931840957295,0.08680828042167876,229.68564300013966,4.895154310379082,1156.7264361924338,1.1640931170618634,0.008769215348490246,0.006053069717594913,0.15296405937255794,3,0.167682621015267,0.011066917771804869,51.863063405380565,0.012181820024225985,2.052592279960172,0.5023266396923657,0.041677184839800735,1,Simulink,7,1
25,1498.2873996443302,20.311653477412722,0.08762357220779333,228.7511630479687,4.897962700416799,1190.8234973207589,1.2714354578691331,0.01244325309309766,0.0058207720168702,0.13183180973050085,3,0.047243420991247044,0.01582355392619955,51.20115312885224,0.01986026114360854,2.1658687850452565,0.41438991725627694,0.03090580332614155,1,Simulink,4,1
26,1495.2560795721151,19.415741723607358,0.10041044328103828,230.2282315002667,5.04477513569378,1149.3211551421819,1.1958455998425248,0.007593847978487078,0.00451263105531996,0.15322549187606202,3,-0.18705659748570702,0.013401214660810616,51.67356855208539,0.02831217469166821,2.0253206364889804,0.4107195723820979,0.04948350781989847,1,Simulink,5,0
27,1504.9891380379613,20.17077765721561,0.08241574057352195,231.04659913968706,4.858918106635853,1155.8527777245931,1.2132946021481645,0.010278222641040195,0.004052556003093778,0.1443231921863762,4,0.047143562382502946,0.012513259088016607,50.05469871287962,0.01948441593672397,2.107319886685469,0.5176476642479491,0.07615445413952375,1,cRIO,2,1
28,1500.525799909256,19.68367587427999,0.101724198520914,230.49310419099464,4.89509265219998,1158.8325013562844,1.1372799470136248,0.008668932265982641,0.005758244776154798,0.11490258296915497,5,-0.20001051503916234,0.012051871667738953,48.95943861762309,0.01944695779616432,1.9896993359106667,0.3654691597913118,0.027514485061241614,1,cRIO,9,1
29,1497.0540201830675,20.365817755778973,0.11965275392415033,229.28624122181756,5.077210657834858,1155.0807813292486,1.2567324932215302,0.008176444051650767,0.004058708329462717,0.1335044308126228,5,-0.4535017893194055,-0.0018912981044249995,48.31939700998854,0.025041619515253584,2.0063947973210627,0.6199374585080408,0.04193692275204141,1,Simulink,5,0
30,1491.971832984686,19.96197554615148,0.09239737600296521,231.73952411635258,5.150782413038427,1160.1575969013725,1.1648083370965268,0.011770941165880192,0.0034698690712566685,0.11529378592814457,9,-0.03567286210821481,0.0037587970827356095,65.56625838949145,0.025293476132123696,2.0144399056499425,0.6332410058420715,0.06410070214669257,1,cRIO,4,0
31,1494.1823007972189,20.54953653127698,0.0863375337060289,229.1719895297232,4.815061553895293,1184.3516041008863,1.2319681421743314,0.015694019177915283,0.004532390466582772,0.1355065157663539,5,-0.02856532771903011,0.012997319593125872,52.85714809123241,0.015117867041542301,2.0135079558139894,0.5037335077110713,0.04944166152065039,1,Simulink,7,1
32,1498.8386496563062,20.51623414156672,0.10939478319680584,226.64322061182781,4.979217413195354,1176.7730525023549,1.120487404787776,0.0070985810903680495,0.005626615799231878,0.1758468902272858,7,0.2431013610046159,0.004731046013287273,47.168712155369654,0.02353441460633326,2.1351732815874924,0.5601536018513604,0.03819404229656806,1,Simulink,8,0
33,1497.0827811176946,19.80036878827157,0.10162191566460878,226.19686376930193,4.550719338046978,1146.936110370121,1.2189407407115427,0.010176220322627137,0.0033788296626965034,0.17207090135049147,9,0.02070828226229062,0.01864523628096315,57.859839926938086,0.01907160203907858,2.07452772775264,0.45407738894647676,0.01587021744640006,1,Simulink,1,0
34,1506.367703652735,20.348614089697914,0.10287159509496178,229.9181667792907,5.140288276763437,1131.3918203211956,1.2667208449772793,0.010286415415545994,0.006495024519636157,0.14755379247861447,6,0.44158159359722565,0.013146094827783821,52.947971646193956,0.023489136952011803,1.9210759612665531,0.6521268103873755,0.04864637598744122,1,Simulink,2,0
35,1508.8640273296014,19.99038245544054,0.07684554662634382,228.89018626002266,4.9020305153736325,1202.7620535201697,1.212923534268611,0.01098696463794377,0.0035313344733408194,0.14874544242040605,3,0.18721972891551647,0.014460152341615632,62.99989604622076,0.022765053565753358,2.4253495724222516,0.5692112719523347,0.05525714603998708,1,Simulink,1,1
36,1501.8732258345701,19.911311120085298,0.09791891265951345,228.94967836306628,5.084639501571702,1194.0077032381332,1.2712236314382748,0.010409750312917411,0.005614209694157092,0.14829212678774026,3,-0.031445343378224,0.014684071584613333,52.31722469058031,0.020363447315177165,1.9928197404799783,0.5345270509612289,0.040633026228811014,1,Simulink,8,1
37,1504.107694086541,20.58174303975305,0.10675131538317811,228.61269531375015,4.824609545788315,1137.1605408884443,1.1527174674363332,0.009440902065701107,0.004159280924025491,0.17336541838901312,5,-0.09966965665344323,0.010849980207360872,50.305824415783285,0.02793612876912778,1.8063737981495265,0.3959340420582818,0.031824130656088544,1,Simulink,5,0
38,1510.3039553321626,19.72666488913035,0.09526934319988654,231.32213827915658,5.12039979050048,1143.1320324230794,1.209257648141908,0.008525970276915491,0.005446666582190182,0.11812653749821797,5,0.07963575760306191,-0.00032131136222710716,44.819141392061084,0.02639172100827965,2.0018642675592133,0.4254655704950212,0.0490837791136384,1,cRIO,4,0
39,1499.683523705671,19.087049452943695,0.10363584273846191,231.30928398564902,4.920660764006959,1149.700591639381,1.1414769145355688,0.010265856929655003,0.005481495320567124,0.13929671465664722,6,0.3380905339171679,0.008574931874096274,40.00694464140995,0.0156579971279077,2.2349378605312076,0.440087360045895,0.03641258934746895,1,Simulink,1,0
40,1501.5680236559122,19.87791251637707,0.10724797845408104,229.82346917159785,4.756719348878739,1143.0629162188122,1.3105702932175525,0.012472449495581427,0.003838332058457616,0.18556785179321927,4,-0.02620408480849993,0.004100641597262804,53.127391940886326,0.02031107537214266,2.0224636719923303,0.496877704117613,0.018173507865562565,1,cRIO,1,1
41,1501.306895330174,20.104843129694693,0.10234811781766476,232.74973038418926,5.08668919361611,1156.6110269903247,1.1555605480113997,0.008323165418488682,0.006141704178968148,0.16141285807368924,2,0.1835122428558111,0.012067854081543018,62.96692872724676,0.01746856684106963,2.1245204676345644,0.6245859081188345,0.03954045799073708,1,cRIO,4,1
42,1499.216798125555,20.47590439267182,0.10227639923397333,230.92300046796584,5.041515751008709,1130.1566281714147,1.2275181219615952,0.00980160828566883,0.004238607293344259,0.12178298217491658,1,0.01817758937067909,0.0021051729027235736,54.17671018654641,0.02663750064674122,2.0779088864659254,0.39646120326044915,0.08230593343277119,1,cRIO,5,0
43,1510.1520814604032,19.437560847304375,0.0931579142517591,228.61543506122857,4.992215409163982,1133.3159006647106,1.2711530804504376,0.010416410217337675,0.00360448531362712,0.18072281403787552,5,-0.009156623192056844,0.024217249072116125,52.77171648347297,0.014238902480385385,1.9815757467830888,0.5967145191744857,0.07504950741963862,1,cRIO,9,1
44,1491.679411220578,19.790434895029723,0.10060064370210337,229.77326261149375,5.063148090218768,1151.5670106466616,1.2170343262404342,0.010333740431700962,0.0049767720839700436,0.15319087146072893,3,-0.14493644848198506,0.0049266118735513485,51.33718940002564,0.016275261703217782,1.8863046339719036,0.42518738840507575,0.04342826439402959,1,Simulink,5,1
45,1503.6806116618832,19.646573299242828,0.0983002081378907,227.6554350061941,4.650257392516256,1143.842080699231,1.234701004353037,0.012564216782853025,0.004452712116794627,0.16466431675243187,8,0.1273084076151335,0.007934757555825874,56.60662430689987,0.020179154722071636,2.265600977154296,0.404263236828384,0.028404077082341855,1,cRIO,6,0
46,1498.4939042797341,19.830536184325428,0.10141559266895794,231.40631263283925,4.9264528833448065,1157.9139501321602,1.2007408004965252,0.011870988791756892,0.0048114081488936835,0.14842146648450888,7,0.5390756278522785,0.006775398060648658,47.72783260365276,0.02626000956470859,1.8874445619946199,0.47343927567117794,0.03533591110814791,1,Simulink,8,0
47,1496.4686053781184,20.722355442261687,0.08889840356354664,231.55935303188576,4.795908290158226,1138.096639001859,1.0971261483747823,0.013707597122049593,0.005574830750048641,0.1626739703072502,2,-0.09857356453438083,0.00713122224797812,59.93767080511684,0.02059024733344887,1.756607484631296,0.4746851499957055,0.02592866207542335,1,cRIO,9,1
48,1495.7009027283382,20.30737653705266,0.09468682288738069,231.9671966462294,5.300139655531893,1143.8271374062342,1.1260776289864585,0.011931359912552095,0.003458433828145132,0.13193472589789026,1,-0.21122092984961324,0.010479284401497249,48.056329891114935,0.021707508698376576,1.8702355047827952,0.48244002513806844,0.09917368748673225,1,cRIO,9,1
49,1503.1155059540492,20.442819663599128,0.10791382733288837,229.1873626531283,4.9627123041628325,1130.3449692620184,1.184621933674222,0.0111292512730158,0.004330658208525217,0.150722318075449,3,0.5091250391558068,0.007951633626401926,45.896646070222985,0.012590627365891748,1.798792645284508,0.5235639648584628,0.07109302985025573,1,cRIO,6,0
50,1491.5095402110148,20.387467479711024,0.10944463445628622,231.08761781292648,5.176941163944571,1146.481817288969,1.1742962944349733,0.011897810740793442,0.0039412165590747925,0.12813119148562885,0,0.3456062394074783,0.018069595498854472,48.07470065008964,0.019082260168225892,1.753691690523958,0.4603662282876086,0.051932636023284455,1,Simulink,7,1
51,1493.251118666197,19.74078218406125,0.09420144818536672,227.84327167241028,5.096533005208261,1136.6370161696652,1.2484372310583625,0.009550889916818694,0.003941549510578962,0.1452437223570316,7,-0.0821714398272949,0.011903232139725797,52.28912010625333,0.02849709996200845,1.913361250133149,0.31097953433510706,0.06630602845320409,1,Simulink,7,0
52,1504.9497542720005,20.762651646037295,0.1153281313232342,231.97619196715337,5.193504598981836,1143.946779126489,1.1581308957825212,0.009295565362205088,0.0033352109985672375,0.1768559063084341,9,0.23947045358797125,0.010990133864276995,48.529090540687214,0.022757208542282754,2.0559632487588146,0.5432950918766327,0.053947428848820575,1,cRIO,3,0
53,1502.2240547919425,19.603862022914264,0.09587947730215078,233.9214356640774,5.534431348525603,1181.2533701046136,1.2239111970081311,0.00932450193459613,0.004201814106103034,0.13535435179139593,0,-0.11065353173735214,0.0024783945345613857,51.4688404048972,0.02502999169816341,2.183044392500884,0.49402624301870157,0.04450981184754462,1,cRIO,2,0
54,1508.86562168285,19.70835519870286,0.10964615313952741,231.5825038593455,4.898734456912411,1162.4991794306982,1.191346422506122,0.008746446665172429,0.006719065502910365,0.1629866362010968,6,-0.19667534458973598,0.0052380080743476345,48.35723374104851,0.01945832576315353,2.2917959633663676,0.5269423452054901,0.06132930968219069,1,cRIO,8,0
55,1501.3726809379164,20.03580383113361,0.0804467980417101,234.91677332565533,5.009236520438055,1160.5954500323035,1.1465695268807499,0.014394238898210926,0.0042067460853194485,0.14229506379814025,5,-0.30581891338246686,0.009828433346250956,55.348458408698036,0.01461416586920736,2.132676609769477,0.5018777723387947,0.055455867725719594,1,cRIO,1,1
56,1493.6617985167659,20.444608508023933,0.0944458901298366,231.85523778123058,5.002816571960355,1151.307896408699,1.2638148694766302,0.008369468751280838,0.0039042260668900523,0.16111403479079167,1,0.021870448421828587,0.007704052601222857,54.20830585827087,0.021143576271523613,1.9031956294905803,0.38334659509849706,0.048368411224738124,1,Simulink,3,1
57,1505.7057431611397,20.014225867987612,0.09964671520568898,231.11259114739929,5.072133262985998,1156.3781458357437,1.1766627998640113,0.007602125638867413,0.005694642118148653,0.15121382206266426,9,0.08176207482592729,0.019840176196540913,44.03008864978752,0.010393694961249327,1.89278113151636,0.49166221104100916,0.03395609089193788,1,Simulink,4,0
58,1494.6071457098406,19.64618071460786,0.09310877284537379,228.73678001174684,4.646128845839339,1134.0307616743632,1.248369092049873,0.012139511202431692,0.004323742143291377,0.11254264210332035,4,-0.19885322148274331,0.01818364985469008,55.71877458683321,0.015891608728587685,1.800591580179017,0.5767239422321722,0.05866699623448962,1,cRIO,6,1
59,1498.2295937894617,20.124526365170343,0.09457829446973517,229.36661333255145,5.26886981668518,1169.732675401525,1.2274109042762773,0.006457336323885225,0.005107050529853329,0.13649055309502017,0,-0.19130226242326012,0.0026229568321435425,45.86541322029577,0.024951495613260016,2.049806677308906,0.343776139224802,0.03782126590308421,1,Simulink,6,1
60,1502.3006214581908,19.91660302381023,0.1051901698064068,230.0063856967861,4.990387031245237,1132.392705732668,1.2085981411429216,0.008844168948055144,0.005869681764420415,0.1331359947142267,5,0.037648403256103545,0.007181170915733453,54.490395803858135,0.02103623640882461,1.9761892454959555,0.3991637078251578,0.012781202570300014,1,cRIO,3,1
61,1495.9422958844148,20.118151661868207,0.10332730491090537,228.2655487831843,5.071455582752681,1163.5671141981127,1.190264554988244,0.012859111426013023,0.006616444422031381,0.15243569557185946,7,0.16817448193991247,0.0038860694266471167,42.662645063487076,0.014348361504737499,2.233672297858297,0.3290741809090255,0.05915119415027155,1,Simulink,6,0
62,1492.626234967745,19.88100484558463,0.09696038372211273,231.23355371343345,4.697220446915502,1162.4668550959557,1.160541593133561,0.007442976997455582,0.004803608260136592,0.16505486218450183,1,0.04413012195136956,0.01742120087026796,41.13534118453886,0.02014499082256955,1.9936852274686332,0.42121567994118303,0.04672274843178899,1,Simulink,7,1
63,1501.560899359402,19.939042120188873,0.09294902514271247,229.04098469083996,5.051307741781153,1148.9018174008747,1.2386081183956845,0.01190796761961258,0.004822799269316656,0.1559896090984984,8,-0.40673428787244026,0.017560823426272163,53.55292085501091,0.017144946125515877,1.9100058940299343,0.49595215798666875,0.018590954965837576,1,Simulink,4,0
64,1504.3340787306531,19.02369125582135,0.09390163279327779,231.4231936062003,5.024881891651531,1146.3226670218346,1.230198884614211,0.008337289396529786,0.006217240917532465,0.14574839520018543,8,0.44095712182422997,0.007451060765647579,50.74919526907344,0.023382849641947916,1.5688218521547246,0.5266184331137471,0.034118705393137466,1,cRIO,8,0
65,1510.2388439529338,20.04921881196229,0.09774016796647751,230.86841435572376,5.19922095786342,1184.4541942144147,1.228945651188645,0.00829533264309378,0.004852623774802182,0.14849295517480884,0,0.10292804799623181,0.016698551519809382,54.92003756657705,0.014149894391164203,2.0023777828843086,0.54190046004179,0.06987272607866324,1,Simulink,8,1
66,1511.7735569887204,19.7073965515482,0.10145148696170356,228.11023899775196,5.016417379925486,1134.3956570372472,1.2523400451745672,0.01029463771806279,0.0040646027400177065,0.16681135395583344,8,-0.08148248373224823,0.009056904485853352,49.52876894943439,0.024066807898636064,2.0698645629050785,0.3720062873089402,0.06100785015458225,1,Simulink,7,0
67,1497.2560938870167,19.370498636515926,0.09958392504629607,232.45623058756186,5.2251860661268115,1141.4314313048885,1.1358457281811778,0.009137640559300855,0.004531522349268088,0.15892893566609553,5,-0.021000300580824305,0.010669299372168112,49.6636607206532,0.020485261814552107,1.8305817381262557,0.6769960871409679,0.05345149895591567,1,Simulink,7,1
68,1502.881780088069,18.82887656479635,0.11592852064371988,230.34113205354026,5.272058998589982,1132.2805983505175,1.2251929967086246,0.010170391859941575,0.005817686313054554,0.14532417264800565,9,-0.13023525877835507,0.01121122116244825,40.56068881388826,0.02351251509531679,2.390932508692498,0.37555639522513046,0.04817237479144114,1,Simulink,7,0
69,1504.4024065045705,18.858859626622838,0.10997878306133414,229.30854853312346,5.078960740977207,1141.8486948922052,1.1974097515757423,0.01263058022949547,0.005336075605990591,0.1752834254818528,8,-0.010193791843610243,0.009184290330016314,44.202313064072904,0.016875049075182433,1.9935602988136718,0.4250453761252754,0.016898677709802766,1,cRIO,2,0
70,1500.5616897436619,21.19593669472864,0.11086915617789002,228.1376842996868,4.760588999034718,1204.13375881951,1.2531286002866682,0.011178739214539143,0.005074851812215618,0.15547043134950034,9,-0.028989890084516103,0.00949037811513807,58.28306857353628,0.0210728917685611,2.3483723242780083,0.41016905677432963,-0.006654649285993609,1,Simulink,8,0
71,1497.68552775572,19.22636072437654,0.08790577546108166,228.3435885886814,5.063061925354118,1155.3365234216078,1.1660354840186198,0.005544400885326837,0.006477692873032153,0.14428470567927287,1,-0.22325803406022784,0.009568584240516907,48.96742063112867,0.02294069374800224,2.0231289145585163,0.3934049718062908,0.06905415150515173,1,cRIO,8,1
72,1503.2302495645076,20.389577923371,0.08327828712252003,232.7096804721674,4.704709613750526,1141.8820182475806,1.1556211169917436,0.008556472486244986,0.00608653303315038,0.15243239608675702,9,0.1798083065674249,0.021985119591005933,52.410198986098244,0.023620471012530467,1.9058339246992437,0.5541379372635239,0.04240217582624833,1,cRIO,6,0
73,1500.57930379421,20.58234404749302,0.10272914115233257,229.050012625685,4.974942025738378,1157.2427222509825,1.2090114412082322,0.011194484181503763,0.006653390116460661,0.12926727097243643,8,0.15005490169869506,0.008739224394210883,57.27020022451385,0.025661606798903017,1.8015596220962615,0.4582658629497599,0.031515235648718797,1,Simulink,7,0
74,1503.0739691630592,20.179064459778573,0.09590523929470107,230.11836766659658,4.936945690171822,1121.0633986447633,1.1943949018629494,0.01527332422293853,0.003970749296877007,0.1129031010388945,8,-0.013085656325240447,0.011733854514504498,54.13372151553146,0.01600606817414552,2.1866441031160564,0.43886343526356697,0.07878160722252026,1,cRIO,2,0
75,1500.8312189748965,21.419811457403956,0.10356032467127141,231.7232977246463,5.138703532845081,1121.5584934514834,1.2292908648733725,0.010612912641299137,0.004740252616601691,0.1323192725159024,3,0.13879664806540742,0.009448981247934793,54.33426364565984,0.023295075596972203,2.0583591670580894,0.5172731144418715,0.04618275162170814,1,Simulink,6,1
76,1498.6830515609392,19.85009940117534,0.0972893899189738,232.7181083124958,5.189710859930848,1137.1372841594325,1.1481402651116575,0.009173299406479095,0.006227160176256759,0.10745380917650707,0,0.03409768051206785,0.014037113519102971,55.143523278693486,0.018593146744533398,2.069213419425427,0.5154217585889593,0.06664646163116462,1,Simulink,2,1
77,1494.6732222877235,19.5165037150726,0.10674678740833674,230.9932611174003,4.666031894981481,1183.320744937951,1.1811337742064911,0.01199113522722667,0.00466399971790493,0.13933577092932364,4,-0.01578438162570794,0.012904701270373265,60.51074231222973,0.027229090194387615,2.0426200380086437,0.5309834737670857,0.06358239758633186,1,Simulink,9,0
78,1505.7643547744478,20.139527723730406,0.10081382055226233,231.21677920433683,5.096701345336262,1127.9472863784463,1.210390669544289,0.008696637615018458,0.0044703061642150325,0.17229104390638458,2,-0.24237389165203327,0.00611976918700801,49.70278671422705,0.028429296156684658,1.790184765042424,0.5294764291975375,0.05814238600868317,1,cRIO,6,0
79,1506.1131962596448,19.474807946325097,0.09219739274521202,226.9951508047129,4.98745029488617,1162.0023291048901,1.198929085252383,0.008931756716774208,0.006126457757129158,0.152811128064135,0,0.06859659347326368,0.015142559541674545,55.34513697684913,0.021898703251709912,1.7534840511243388,0.46710247528512633,0.07011761004647321,1,Simulink,8,1
80,1497.9924343354855,19.212055735721243,0.08905696119406589,230.87037614986212,4.8684406460807566,1175.667719524827,1.1414660358248152,0.012036440858468918,0.004566950685261629,0.17615067760635075,6,-0.2691255836656294,0.014757760390395431,47.04178179868239,0.019963813432752324,1.9355517692328559,0.36873917328473094,0.048460126717233244,1,Simulink,2,0
81,1506.3245794748616,20.148920112814274,0.104607013503896,231.79767130676788,4.959300329433722,1151.0660964004378,1.1629228150225719,0.01077648916088057,0.004129549334471933,0.1614744779634743,6,0.23622835828893654,0.014509991891050466,47.81382028920813,0.016436110575862032,2.001309593327327,0.5854199648612817,0.04537095570024692,1,cRIO,7,0
